Country,Element,Item,Year,Unit,Value
Afghanistan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,20113.06855
Albania,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,12541.49677
Algeria,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,168331.0214
Andorra,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2648.246726
Angola,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,105625.1536
Anguilla,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,241.852743
Antigua and Barbuda,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1301.103248
Argentina,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,558064.7531
Armenia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,11918.9109
Aruba,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2364.254562
Australia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1357719.626
Austria,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,386358.8284
Azerbaijan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,51289.42546
Bahamas,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,10700.09905
Bahrain,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,32914.16563
Bangladesh,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,274358.1996
Barbados,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,3925.634652
Belarus,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,58531.09768
Belgium,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,466648.9415
Belize,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1531.454017
Benin,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,14451.96608
Bermuda,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,6901.963393
Bhutan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2444.020159
Bolivia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,34820.96125
Bosnia Herzegovina,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,17609.73425
Botswana,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,15345.52978
Brazil,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1749104.608
British Virgin Islands,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1405.804717
Brunei Darussalam,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,13426.6055
Bulgaria,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,54923.71344
Burkina Faso,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,15313.25134
Burundi,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,3278.434244
Cabo Verde,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1631.337146
Cambodia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,22998.62244
Cameroon,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,35589.75907
Canada,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1599940.42
Cayman Islands,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,5703.872062
Central African Republic,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2002.133734
Chad,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,11156.62544
Chile,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,247639.1262
China,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,14967016.62
"China, Hong Kong SAR","Value US$, 2015 prices",Gross Domestic Product,2020,millions,312738.7312
"China, Macao SAR","Value US$, 2015 prices",Gross Domestic Product,2020,millions,22295.67212
"China, mainland","Value US$, 2015 prices",Gross Domestic Product,2020,millions,14631982.22
Colombia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,299660.6149
Comoros,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1173.780305
Congo Brazzaville,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,8631.322631
Cook Islands,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,286.85802
Costa Rica,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,60975.38862
Côte d'Ivoire,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,61010.60499
Croatia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,52557.8792
Cuba,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,81122.07575
Curaçao,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2366.669092
Cyprus,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,23570.3879
Czech Republic,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,203104.1008
Democratic People's Republic of Korea,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,14990.07475
Democratic Republic of the Congo,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,45259.58249
Denmark,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,327737.5348
Djibouti,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,3212.831288
Dominica,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,475.850593
Dominican Republic,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,83275.60739
Ecuador,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,93820.0989
Egypt,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,397699.5757
El Salvador,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,23779.64438
Equatorial Guinea,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,9502.008198
Eritrea,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2269.057083
Estonia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,26269.34796
Eswatini,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,4137.320171
Ethiopia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,91257.60738
Fiji,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,4394.90407
Finland,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,247627.9941
France,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2410285.649
French Polynesia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,5580.853946
Gabon,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,15335.08412
Gambia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1637.68766
Georgia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,16663.76849
Germany,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,3434435.992
Ghana,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,63521.04448
Greece,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,185299.9583
Greenland,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2742.803555
Grenada,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,978.821467
Guatemala,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,69560.81025
Guinea,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,12934.60699
Guinea-Bissau,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1255.513384
Guyana,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,7275.89152
Haiti,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,14415.87157
Honduras,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,22176.5233
Hungary,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,140096.8989
Iceland,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,19491.44863
India,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2551440.6
Indonesia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1027602.851
Iran (Islamic Republic of),"Value US$, 2015 prices",Gross Domestic Product,2020,millions,439462.6605
Iraq,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,170857.9576
Ireland,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,392377.0135
Israel,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,345460.1666
Italy,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1744731.952
Jamaica,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,13419.13854
Japan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,4380756.531
Jordan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,41107.71584
Kazakhstan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,205829.2668
Kenya,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,83859.14951
Kiribati,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,176.051318
Kuwait,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,104343.3089
Kyrgyzstan,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,7238.138556
Lao People's Democratic Republic,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,19050.08913
Latvia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,29604.55797
Lebanon,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,35082.91206
Lesotho,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2242.879507
Liberia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,2615.256049
Libya,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,19815.28162
Liechtenstein,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,6659.160024
Lithuania,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,48091.28711
Luxembourg,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,66091.2912
Madagascar,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,12152.89999
Malawi,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,10881.33584
Malaysia,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,343624.8482
Maldives,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,3600.452838
Mali,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,17255.43503
Malta,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,13142.20656
Marshall Islands,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,207.699829
Mauritania,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,6856.779635
Mauritius,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,11465.32694
Mexico,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,1150156.422
Micronesia (Federated States of),"Value US$, 2015 prices",Gross Domestic Product,2020,millions,326.495707
Monaco,"Value US$, 2015 prices",Gross Domestic Product,2020,millions,6243.660452
