Country,Item,Year,Unit,Value
Afghanistan,Population - Est. & Proj.,2020,1000 persons,38972.23
Albania,Population - Est. & Proj.,2020,1000 persons,2866.849
Algeria,Population - Est. & Proj.,2020,1000 persons,43451.666
American Samoa,Population - Est. & Proj.,2020,1000 persons,46.189
Andorra,Population - Est. & Proj.,2020,1000 persons,77.7
Angola,Population - Est. & Proj.,2020,1000 persons,33428.486
Anguilla,Population - Est. & Proj.,2020,1000 persons,15.585
Antigua and Barbuda,Population - Est. & Proj.,2020,1000 persons,92.664
Argentina,Population - Est. & Proj.,2020,1000 persons,45036.032
Armenia,Population - Est. & Proj.,2020,1000 persons,2805.608
Aruba,Population - Est. & Proj.,2020,1000 persons,106.585
Australia,Population - Est. & Proj.,2020,1000 persons,25670.051
Austria,Population - Est. & Proj.,2020,1000 persons,8907.777
Azerbaijan,Population - Est. & Proj.,2020,1000 persons,10284.951
Bahamas,Population - Est. & Proj.,2020,1000 persons,406.471
Bahrain,Population - Est. & Proj.,2020,1000 persons,1477.469
Bangladesh,Population - Est. & Proj.,2020,1000 persons,167420.951
Barbados,Population - Est. & Proj.,2020,1000 persons,280.693
Belarus,Population - Est. & Proj.,2020,1000 persons,9633.74
Belgium,Population - Est. & Proj.,2020,1000 persons,11561.717
Belize,Population - Est. & Proj.,2020,1000 persons,394.921
Benin,Population - Est. & Proj.,2020,1000 persons,12643.123
Bermuda,Population - Est. & Proj.,2020,1000 persons,64.031
Bhutan,Population - Est. & Proj.,2020,1000 persons,772.506
Bolivia,Population - Est. & Proj.,2020,1000 persons,11936.162
"Bonaire, Sint Eustatius and Saba",Population - Est. & Proj.,2020,1000 persons,26.153
Bosnia Herzegovina,Population - Est. & Proj.,2020,1000 persons,3318.407
Botswana,Population - Est. & Proj.,2020,1000 persons,2546.402
Brazil,Population - Est. & Proj.,2020,1000 persons,213196.304
British Virgin Islands,Population - Est. & Proj.,2020,1000 persons,30.91
Brunei Darussalam,Population - Est. & Proj.,2020,1000 persons,441.725
Bulgaria,Population - Est. & Proj.,2020,1000 persons,6979.175
Burkina Faso,Population - Est. & Proj.,2020,1000 persons,21522.626
Burundi,Population - Est. & Proj.,2020,1000 persons,12220.227
Cabo Verde,Population - Est. & Proj.,2020,1000 persons,582.64
Cambodia,Population - Est. & Proj.,2020,1000 persons,16396.86
Cameroon,Population - Est. & Proj.,2020,1000 persons,26491.087
Canada,Population - Est. & Proj.,2020,1000 persons,37888.705
Cayman Islands,Population - Est. & Proj.,2020,1000 persons,67.311
Central African Republic,Population - Est. & Proj.,2020,1000 persons,5343.02
Chad,Population - Est. & Proj.,2020,1000 persons,16644.701
Chile,Population - Est. & Proj.,2020,1000 persons,19300.315
