Country,Element,Item,Year,Unit,Value
Afghanistan,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,3.23
Afghanistan,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,4.04
Afghanistan,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0
Afghanistan,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,1.71
Afghanistan,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.3
Albania,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,11.65
Albania,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,8.26
Albania,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,5.25
Albania,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,13.94
Albania,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0
Algeria,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,3.83
Algeria,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,8.06
Algeria,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0.02
Algeria,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,6.38
Algeria,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.32
Angola,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,3.43
Angola,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.75
Angola,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,7.04
Angola,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,8.41
Angola,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.3
Antigua and Barbuda,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,5.04
Antigua and Barbuda,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.98
Antigua and Barbuda,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,14.31
Antigua and Barbuda,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,61.76
Antigua and Barbuda,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.05
Argentina,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,46.93
Argentina,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,1.42
Argentina,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,14.42
Argentina,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,46.23
Argentina,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,1.15
Armenia,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,23.9
Armenia,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,3.59
Armenia,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,8.13
Armenia,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,15.29
Armenia,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.02
Australia,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,37.02
Australia,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,10.62
Australia,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,24.24
Australia,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,48.73
Australia,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.92
Austria,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,14.86
Austria,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,1.04
Austria,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,45.03
Austria,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,15.66
Austria,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.33
Azerbaijan,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,13.47
Azerbaijan,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,8.41
Azerbaijan,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0.58
Azerbaijan,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,14.42
Azerbaijan,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0
Bahamas,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,5.2
Bahamas,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,1.65
Bahamas,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,23.77
Bahamas,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,54.4
Bahamas,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.05
Bahrain,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,13.69
Bahrain,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,21.43
Bahrain,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0.75
Bahrain,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,43.95
Bahrain,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.81
Bangladesh,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,1.25
Bangladesh,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,1.44
Bangladesh,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0
Bangladesh,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,1.64
Bangladesh,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0
Barbados,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,8.01
Barbados,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,3.31
Barbados,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,12.32
Barbados,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,49.28
Barbados,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.06
Belarus,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,18.62
Belarus,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.12
Belarus,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,39.18
Belarus,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,32.22
Belarus,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.25
Belgium,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,13.98
Belgium,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,1.28
Belgium,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,32.8
Belgium,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,12.44
Belgium,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,1.35
Belize,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,3.6
Belize,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.06
Belize,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,20.81
Belize,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,23.81
Belize,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.22
Benin,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,3.64
Benin,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.8
Benin,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0.74
Benin,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,8.69
Benin,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.68
Bhutan,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,9.29
Bhutan,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.29
Bhutan,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,1.89
Bhutan,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,4.59
Bolivia,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,21.6
Bolivia,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,3.14
Bolivia,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,9.73
Bolivia,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,40.86
Bolivia,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,1.8
Bosnia Herzegovina,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,12.84
Bosnia Herzegovina,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.3
Bosnia Herzegovina,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,9.29
Bosnia Herzegovina,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,20.01
Bosnia Herzegovina,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.34
Botswana,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,10.21
Botswana,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,2.48
Botswana,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0.48
Botswana,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,3.53
Botswana,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,11.85
Brazil,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,35.41
Brazil,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.65
Brazil,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,14.19
Brazil,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,48.39
Brazil,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.51
Bulgaria,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,3.45
Bulgaria,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,1.29
Bulgaria,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,30.04
Bulgaria,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,21.48
Bulgaria,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.68
Burkina Faso,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,5.31
Burkina Faso,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,3.85
Burkina Faso,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,15.21
Burkina Faso,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,9.48
Burkina Faso,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.4
Burundi,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,0.92
Burundi,Food supply quantity (kg/capita/yr),Mutton & Goat Meat,2020,kg,0.72
Burundi,Food supply quantity (kg/capita/yr),Pigmeat,2020,kg,0.85
Burundi,Food supply quantity (kg/capita/yr),Poultry Meat,2020,kg,0.56
Burundi,Food supply quantity (kg/capita/yr),"Meat, Other",2020,kg,0.07
Cabo Verde,Food supply quantity (kg/capita/yr),Bovine Meat,2020,kg,1.72
