Values of 2020,,,,,
,,,,,
Country,Buddhists,Christians,Hindus,Jews,Muslims
Afghanistan,0,0,0,0,100
Albania,0,16.7,0,0,82.1
Algeria,0,0,0,0,97.9
American Samoa,0,98.3,0,0,0
Andorra,0,89.5,0,0,0
Angola,0,90.5,0,0,0
Anguilla,0,90.6,0,0,0
Antigua and Barbuda,0,93,0,0,0
Argentina,0,85.4,0,0,0
Armenia,0,98.3,0,0,0
Aruba,0,91.6,0,0,0
Australia,2.9,61.7,1.7,0,3
Austria,0,78.4,0,0,6.2
Azerbaijan,0,2.6,0,0,97.3
Bahamas,0,96.2,0,0,0
Bahrain,3.1,14.1,10.2,0,69.7
Bangladesh,0,0,8.2,0,90.8
Barbados,0,95.2,0,0,0
Belarus,0,70.7,0,0,0
Belgium,0,60.5,0,0,7.5
Belize,0,87.6,0,1.1,0
Benin,0,52.2,0,0,24.6
Bermuda,0,75,0,0,1.1
Bhutan,74.7,0,22.5,0,0
Bolivia,0,94,0,0,0
Bosnia Herzegovina,0,51.1,0,0,46.5
Botswana,0,76.4,0,0,0
Brazil,0,88.1,0,0,0
British Virgin Islands,0,84.5,1.2,0,1.2
Brunei,8.6,9.4,0,0,75.1
Bulgaria,0,81,0,0,14.2
Burkina Faso,0,21.7,0,0,62.7
Burundi,0,91,0,0,2.9
Cambodia,96.8,0,0,0,2
Cameroon,0,69.6,0,0,19.3
Canada,1,66.4,1.7,1.1,2.8
Cabo Verde,0,89.3,0,0,0
Cayman Islands,0,83.5,0,0,0
Central African Republic,0,89,0,0,9
Chad,0,41.1,0,0,55.1
Channel Islands,0,85.2,0,0,0
Chile,0,88.3,0,0,0
China,18.3,5.2,0,0,2
Colombia,0,92.3,0,0,0
Comoros,0,0,0,0,98.3
Congo Brazzaville,0,87.1,0,0,1.2
Democratic Republic of the Congo,0,95.8,0,0,1.5
Cook Islands,0,96,0,0,0
Costa Rica,0,90.8,0,0,0
Côte d'Ivoire,0,44,0,0,37.2
Croatia,0,93.3,0,0,1.6
Cuba,0,58.9,0,0,0
Cyprus,0,72.3,0,0,25
Czech Republic,0,20.9,0,0,0
Denmark,0,81.9,0,0,5.1
Djibouti,0,2.3,0,0,96.9
Dominica,0,94.4,0,0,0
Dominican Republic,0,88,0,0,0
Ecuador,0,94,0,0,0
Egypt,0,4.7,0,0,95.3
El Salvador,0,88,0,0,0
